timestamp,lat,lon,bearing,bearing_change_rate,gsp,flying,circling
1533988004.000000,46.765067,8.976517,145.589079,17.369759,35.624265,True,True
1533988007.000000,46.764883,8.976700,-107.607332,-25.706407,29.651749,True,True
1533988010.000000,46.764800,8.976317,-31.148910,-29.456331,36.759360,True,True
1533988013.000000,46.765083,8.976067,-12.205696,15.900273,44.175239,True,True
1533988016.000000,46.765400,8.975967,17.726954,8.145977,43.231327,True,True
1533988020.000000,46.765650,8.976083,124.664711,19.552915,26.266018,True,True
1533988023.000000,46.765500,8.976400,-117.962191,-19.384163,35.189833,True,True
1533988026.000000,46.765367,8.976033,-45.776377,-28.406848,37.943132,True,True
1533988029.000000,46.765600,8.975683,16.360315,22.387084,44.640012,True,True
1533988032.000000,46.765833,8.975783,111.015766,26.132024,32.448445,True,True
1533988035.000000,46.765750,8.976100,-130.654495,-24.502468,31.005758,True,True
1533988038.000000,46.765583,8.975817,-43.484032,-25.749966,34.135184,True,True
1533988041.000000,46.765800,8.975517,43.047369,28.950311,39.845756,True,True
1533988044.000000,46.765983,8.975767,136.199687,29.947287,33.474641,True,True
1533988047.000000,46.765817,8.976000,-141.369919,29.263785,30.812269,True,True
1533988050.000000,46.765617,8.975767,-89.999866,22.300074,34.161541,True,True
1533988053.000000,46.765617,8.975400,-4.893879,22.746007,33.513390,True,True
1533988056.000000,46.765883,8.975367,86.518902,29.419795,35.712570,True,True
1533988059.000000,46.765900,8.975767,161.094067,27.664658,36.627451,True,True
1533988062.000000,46.765633,8.975900,-168.098234,17.563811,37.611435,True,True
1533988065.000000,46.765417,8.975833,-108.957564,14.991395,29.545836,True,True
1533988068.000000,46.765350,8.975550,-10.773081,26.220859,27.382056,True,True
1533988071.000000,46.765650,8.975467,72.392128,-29.775051,40.748360,True,True
1533988074.000000,46.765733,8.975850,140.874314,25.274566,36.758833,True,True
1533988077.000000,46.765467,8.976167,-149.903138,22.950789,45.867476,True,True
1533988080.000000,46.765250,8.975983,-58.421428,26.784043,33.415819,True,True
1533988083.000000,46.765383,8.975667,29.098085,29.833537,33.974329,True,True
1533988086.000000,46.765650,8.975883,106.276459,27.449648,40.721988,True,True
1533988089.000000,46.765567,8.976300,-168.926558,26.995893,39.673527,True,True
1533988092.000000,46.765333,8.976233,-86.203389,27.920025,31.725244,True,True
1533988095.000000,46.765350,8.975867,-8.205888,26.786778,33.587266,True,True
1533988099.000000,46.765667,8.975800,50.471909,19.525043,32.018374,True,True
1533988102.000000,46.765883,8.976183,67.926031,10.875988,45.424579,True,True
1533988105.000000,46.765967,8.976483,140.580500,15.018098,29.588738,True,True
1533988108.000000,46.765800,8.976683,-117.962323,29.018608,28.787648,True,True
1533988111.000000,46.765667,8.976317,-44.894813,29.087448,37.942968,True,True
1533988114.000000,46.765850,8.976050,11.901624,21.643991,34.532462,True,True
1533988117.000000,46.766067,8.976117,76.852204,20.291169,29.545826,True,True
1533988120.000000,46.766133,8.976533,76.852188,10.825094,39.108192,True,True
1533988123.000000,46.766200,8.976950,66.043384,-1.801470,39.108146,True,False
1533988126.000000,46.766317,8.977333,74.871401,-0.330131,38.339058,True,False
1533988129.000000,46.766400,8.977783,89.999848,3.992744,42.606092,True,False
1533988132.000000,46.766400,8.978200,89.999806,2.521401,38.082843,True,False
1533988135.000000,46.766400,8.978733,83.827776,-1.028679,48.746040,True,False
1533988138.000000,46.766433,8.979183,86.657778,-0.557005,41.369255,True,False
1533988141.000000,46.766450,8.979600,89.999818,1.028674,38.147692,True,False
1533988144.000000,46.766450,8.980100,98.889932,2.038692,45.699370,True,False
1533988147.000000,46.766400,8.980567,108.618597,3.103130,43.171401,True,False
